Firestore (3.8.6) 2020-07-06T06:24:43.915Z ##### [Firestore]: Initialized Firestore
Firestore (3.8.6) 2020-07-06T06:24:43.923Z Wh2wq [ClientPool.acquire]: Creating a new client
Firestore (3.8.6) 2020-07-06T06:24:44.017Z ##### [Firestore]: Initialized Firestore GAPIC Client
Firestore (3.8.6) 2020-07-06T06:24:44.017Z Wh2wq [Firestore.requestStream]: Sending request: {"database":"projects/onsnapshot-failure/databases/(default)","addTarget":{"query":{"parent":"projects/onsnapshot-failure/databases/(default)/documents","structuredQuery":{"from":[{"collectionId":"listeningTo"}],"where":{"fieldFilter":{"field":{"fieldPath":"segmentId"},"op":"EQUAL","value":{"stringValue":"segment_1"}}}}},"targetId":1}}
Firestore (3.8.6) 2020-07-06T06:24:44.020Z Wh2wq [Firestore._initializeStream]: Sending request: {"database":"projects/onsnapshot-failure/databases/(default)","addTarget":{"query":{"parent":"projects/onsnapshot-failure/databases/(default)/documents","structuredQuery":{"from":[{"collectionId":"listeningTo"}],"where":{"fieldFilter":{"field":{"fieldPath":"segmentId"},"op":"EQUAL","value":{"stringValue":"segment_1"}}}}},"targetId":1}}
Firestore (3.8.6) 2020-07-06T06:24:44.032Z Wh2wq [Firestore._initializeStream]: Marking stream as healthy
Firestore (3.8.6) 2020-07-06T06:24:44.032Z Wh2wq [Firestore._initializeStream]: Releasing stream
Firestore (3.8.6) 2020-07-06T06:24:44.032Z Wh2wq [Watch.initStream]: Opened new stream
Firestore (3.8.6) 2020-07-06T06:24:45.067Z Wh2wq [Firestore.requestStream]: Received response: {"targetChange":{"targetIds":[1],"targetChangeType":"ADD","cause":null,"resumeToken":{"type":"Buffer","data":[]},"readTime":null},"responseType":"targetChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.067Z Wh2wq [Watch.onData]: Processing target change
Firestore (3.8.6) 2020-07-06T06:24:45.428Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"channelId":{"stringValue":"test","valueType":"stringValue"},"uid":{"stringValue":"---testUser_segment_1","valueType":"stringValue"},"listening":{"booleanValue":false,"valueType":"booleanValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/---testUser_segment_1_test","createTime":{"seconds":"1593343129","nanos":16363000},"updateTime":{"seconds":"1593343308","nanos":218345000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.428Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.428Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.429Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"uid":{"stringValue":"006LviiI111pMlW","valueType":"stringValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"listening":{"booleanValue":true,"valueType":"booleanValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_006LviiI111pMlW","createTime":{"seconds":"1593342440","nanos":922795000},"updateTime":{"seconds":"1593342440","nanos":922795000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.430Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.430Z Wh2wq [Watch.onData]: Received document change
Firestore (3.8.6) 2020-07-06T06:24:45.430Z Wh2wq [Firestore.requestStream]: Received response: {"documentChange":{"targetIds":[1],"removedTargetIds":[],"document":{"fields":{"listening":{"booleanValue":true,"valueType":"booleanValue"},"segmentId":{"stringValue":"segment_1","valueType":"stringValue"},"channelId":{"stringValue":"channel_10","valueType":"stringValue"},"uid":{"stringValue":"0v1qifXnSGnwgN5","valueType":"stringValue"}},"name":"projects/onsnapshot-failure/databases/(default)/documents/listeningTo/channel_10_0v1qifXnSGnwgN5","createTime":{"seconds":"1593342786","nanos":366171000},"updateTime":{"seconds":"1593342786","nanos":366171000}}},"responseType":"documentChange"}
Firestore (3.8.6) 2020-07-06T06:24:45.430Z Wh2wq [Watch.onData]: Processing change event
Firestore (3.8.6) 2020-07-06T06:24:45.430Z Wh2wq [Watch.onData]: Received document change
